fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_srf,fk_id_cci,fk_id_ext_partner,fk_id_policy_owner,fk_id_sdg,"fk_id_oics"
119,2,3,0,1,0,3,20,93,0,1,0,0,82,"0"
120,2,1,0,1,0,4,20,183,0,1,0,0,82,"0"
121,2,1,0,1,0,1,20,87,0,1,0,0,82,"0"
104,1,1,0,2,0,3,3,187,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,197,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,68,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,23,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,54,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,65,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,93,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,101,28,0,0,0,84,"0"
104,1,1,0,2,0,3,3,187,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,197,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,68,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,23,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,54,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,65,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,93,25,0,0,0,86,"0"
104,1,1,0,2,0,3,3,101,25,0,0,0,86,"0"
114,2,1,0,1,0,3,20,135,22,0,0,0,89,"0"
114,2,1,0,1,0,3,20,72,22,0,0,0,89,"0"
114,2,1,0,1,0,3,20,135,22,0,0,0,91,"0"
114,2,1,0,1,0,3,20,72,22,0,0,0,91,"0"
114,2,1,0,1,0,3,20,135,22,0,0,0,92,"0"
