attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
20,0,0,5,4,0,449,1,3,3797
17,1,0,0,8,0,138,1,3,3798
1631,83,36,11,1037,22,1678,1,3,3799
4,0,0,1,1,0,113,1,3,3800
0,0,0,0,0,0,0,1,3,3801
24,3,0,0,0,0,387,1,3,3802
18,0,1,0,19,1,98,1,3,3803
48,2,3,1,17,1,181,1,3,3804
3,0,0,1,0,0,41,1,3,3805
2,0,0,0,4,0,60,1,3,3806
194,3,5,3,187,1,558,1,3,3807
4,0,0,0,5,0,33,1,3,3808
12,0,1,1,3,0,118,1,3,3809
0,0,0,0,0,0,0,1,3,3810
1,0,0,0,1,0,21,1,3,3811
41,1,1,1,22,0,267,1,3,3812
2,0,0,0,3,0,90,1,3,3813
0,0,0,0,0,0,0,1,3,3814
6,0,1,0,0,0,44,1,3,3815
73,9,1,0,0,0,92,1,3,3816
0,0,0,0,0,0,0,1,3,3817
0,0,0,0,0,0,0,1,3,3818
1,0,0,0,2,0,50,1,3,3819
0,0,0,0,0,0,0,1,3,3820
2,0,0,0,4,0,41,1,3,3821
134,12,2,4,20,1,196,1,3,3822
228,7,5,4,182,8,660,1,3,3823
8,0,0,2,2,0,147,1,3,3824
1,0,0,0,1,0,32,1,3,3825
0,0,0,0,0,0,0,1,3,3826
6,0,0,2,0,0,66,1,3,3827
93,5,4,1,37,3,60,1,3,3828
10,0,0,1,10,0,171,1,3,3829
14,0,1,0,7,0,76,1,3,3830
14,0,1,1,5,3,86,1,3,3831
14,0,0,0,21,0,54,1,3,3832
0,0,0,0,0,0,0,1,3,3833
1,0,0,0,1,0,87,1,3,3834
24,2,1,0,3,1,70,1,3,3835
19,0,1,0,16,0,111,1,3,3836
2,0,0,0,3,0,66,1,3,3837
15,0,1,0,12,0,38,1,3,3838
29,1,2,1,10,0,110,1,3,3839
19,1,1,0,6,0,306,1,3,3840
4,0,0,1,1,0,81,1,3,3841
0,0,0,0,0,0,0,1,3,3842
6,0,1,0,0,0,70,1,3,3843
4856,357,47,10,2805,20,3042,1,9,6372
241,14,3,1,166,0,110,2,23,168
19,0,2,0,9,0,52,2,23,169
1,0,0,0,1,0,89,2,23,170
30,0,4,0,6,0,20,2,23,171
5,0,0,1,3,0,58,2,23,172
74,4,6,0,17,0,60,2,23,173
41,1,1,0,39,1,248,2,23,174
24,0,4,0,3,0,12,2,23,175
23,0,2,1,12,1,81,2,23,176
529,24,10,4,389,3,295,2,23,177
978,59,13,3,588,8,154,2,23,178
2413,147,30,9,1487,13,1721,2,23,179
0,0,0,0,0,0,0,2,23,180
6,0,0,0,8,0,91,2,23,181
24,1,1,2,5,1,51,2,23,182
8,0,1,0,2,0,91,2,23,183
17,0,1,0,15,0,71,2,23,184
12,0,1,1,3,1,28,2,23,185
1,0,0,0,1,0,8,2,23,186
4,0,0,1,2,0,164,2,23,187
10,0,1,0,3,0,47,2,23,188
23,1,1,1,7,0,28,2,23,189
11,0,1,0,4,0,35,2,23,190
166,5,7,4,95,2,106,2,23,191
6,0,1,0,0,0,90,2,23,192
19,0,0,1,24,0,42,2,23,193
26,0,4,0,4,0,28,2,23,194
2,0,0,0,2,0,25,2,23,195
70,8,1,1,2,0,96,2,23,196
32,0,3,0,15,1,177,2,23,197
13,0,2,0,2,0,88,2,23,198
9,0,1,0,2,1,36,2,23,199
1,0,0,0,1,1,37,2,23,200
2,0,0,0,3,0,21,2,23,201
9,0,0,2,3,0,199,2,23,202
0,0,0,0,0,0,0,2,23,203
19,0,2,2,1,0,72,2,23,204
9,0,1,0,3,0,41,2,23,205
44,0,3,0,37,0,131,2,23,206
65,0,6,0,49,1,113,2,23,207
8,0,0,0,11,0,90,2,23,208
9,0,0,0,13,1,69,2,23,209
9,0,1,1,0,0,109,2,23,210
39,4,0,0,7,0,133,2,23,211
38,1,4,1,10,0,73,2,23,212
28,0,4,0,6,0,32,2,23,213
8,0,1,0,1,0,16,2,23,214
2,0,0,0,3,0,56,2,23,215
4,0,0,0,6,0,57,2,23,216
8,0,1,0,1,0,21,2,23,217
18,0,1,0,14,0,22,2,23,218
1,0,0,0,2,0,71,2,23,219
2,0,0,0,4,0,160,2,23,220
10,0,1,0,3,0,43,2,23,221
11,0,1,0,4,0,22,2,23,222
16,0,2,0,4,0,209,2,23,223
14,0,1,0,5,1,33,2,23,224
9,0,1,0,2,0,18,2,23,225
404,29,6,4,178,5,571,2,23,226
1,0,0,0,1,0,57,2,23,227
8,0,1,0,1,0,37,2,23,228
0,0,0,0,0,0,0,2,23,229
1,0,0,0,1,0,10,2,23,230
51,2,4,1,14,0,38,2,23,231
2,0,0,0,3,0,16,2,23,232
13,0,0,4,1,0,203,2,23,233
0,0,0,0,0,0,0,2,23,234
1,0,0,0,1,0,21,2,23,235
