fk_id_partnership_2018_info,fk_id_partnerships_main_areas,fk_id_flagship,fk_id_ext_partner,fk_id_phases,fk_id_crp
64,4,19,1340,57,4
65,4,19,1362,57,4
65,4,19,2209,57,4
66,1,16,646,57,4
66,1,16,2156,57,4
66,1,16,1103,57,4
66,1,16,349,57,4
66,1,16,974,57,4
66,1,16,2385,57,4
66,3,16,646,57,4
66,3,16,2156,57,4
66,3,16,1103,57,4
66,3,16,349,57,4
66,3,16,974,57,4
66,3,16,2385,57,4
67,2,16,1121,57,4
67,2,16,2485,57,4
67,1,16,1121,57,4
67,1,16,2485,57,4
68,3,18,1610,57,4
68,3,18,79,57,4
68,4,18,1610,57,4
68,4,18,79,57,4
69,3,18,1630,57,4
70,1,20,785,57,4
70,1,20,1847,57,4
70,1,20,291,57,4
70,1,20,2347,57,4
70,1,20,1718,57,4
70,4,20,785,57,4
70,4,20,1847,57,4
70,4,20,291,57,4
70,4,20,2347,57,4
70,4,20,1718,57,4
71,1,20,1644,57,4
71,1,20,798,57,4
71,1,20,1881,57,4
71,1,20,1689,57,4
71,1,20,2528,57,4
71,1,20,1913,57,4
71,4,20,1644,57,4
71,4,20,798,57,4
71,4,20,1881,57,4
71,4,20,1689,57,4
71,4,20,2528,57,4
71,4,20,1913,57,4
72,2,17,534,57,4
72,2,17,584,57,4
72,2,17,557,57,4
73,2,17,1467,57,4
73,2,17,2329,57,4
74,4,16,1644,57,4
74,4,16,1121,57,4
74,4,16,2298,57,4
74,4,16,1727,57,4
74,4,16,1850,57,4
74,4,16,1091,57,4
74,4,16,1698,57,4
74,4,16,2535,57,4
74,1,16,1644,57,4
74,1,16,1121,57,4
74,1,16,2298,57,4
74,1,16,1727,57,4
74,1,16,1850,57,4
74,1,16,1091,57,4
74,1,16,1698,57,4
74,1,16,2535,57,4
75,3,18,673,57,4
75,3,18,146,57,4
75,3,18,291,57,4
75,3,18,79,57,4
75,3,18,646,57,4
75,3,18,657,57,4
75,4,18,673,57,4
75,4,18,146,57,4
75,4,18,291,57,4
75,4,18,79,57,4
75,4,18,646,57,4
75,4,18,657,57,4
75,1,18,673,57,4
75,1,18,146,57,4
75,1,18,291,57,4
75,1,18,79,57,4
75,1,18,646,57,4
75,1,18,657,57,4
76,1,20,1881,57,4
76,1,20,2529,57,4
77,1,5,194,23,2
77,1,5,113,23,2
77,4,5,194,23,2
77,4,5,113,23,2
78,2,5,1377,23,2
78,2,5,349,23,2
78,2,5,113,23,2
78,2,5,112,23,2
78,2,5,1936,23,2
78,2,5,1669,23,2
78,2,5,2065,23,2
78,1,5,1377,23,2
78,1,5,349,23,2
78,1,5,113,23,2
78,1,5,112,23,2
78,1,5,1936,23,2
78,1,5,1669,23,2
78,1,5,2065,23,2
79,2,10,113,23,2
79,2,10,601,23,2
79,2,10,2492,23,2
79,2,10,1491,23,2
79,1,10,113,23,2
79,1,10,601,23,2
79,1,10,2492,23,2
79,1,10,1491,23,2
80,4,7,610,23,2
80,4,7,1683,23,2
80,4,7,106,23,2
80,2,7,610,23,2
80,2,7,1683,23,2
80,2,7,106,23,2
81,2,10,115,23,2
81,2,10,110,23,2
81,2,10,113,23,2
81,2,10,65,23,2
81,4,10,115,23,2
81,4,10,110,23,2
81,4,10,113,23,2
81,4,10,65,23,2
81,1,10,115,23,2
81,1,10,110,23,2
81,1,10,113,23,2
81,1,10,65,23,2
82,4,10,1945,23,2
82,4,10,2299,23,2
82,4,10,106,23,2
82,4,10,113,23,2
82,4,10,119,23,2
82,1,10,1945,23,2
82,1,10,2299,23,2
82,1,10,106,23,2
82,1,10,113,23,2
82,1,10,119,23,2
83,4,24,1206,74,5
84,3,24,598,74,5
