attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
21;0;0;0;43;0;57;4;54;117
20;0;1;0;20;0;17;4;54;123
20;0;0;0;30;0;42;4;54;126
20;0;0;0;28;0;95;4;54;131
19;0;0;0;28;0;53;4;54;133
19;0;2;0;10;0;40;4;54;137
18;0;0;0;34;2;35;4;54;145
16;1;1;0;2;0;13;4;54;158
15;0;0;0;24;0;15;4;54;169
15;0;0;0;33;0;23;4;54;172
15;0;1;0;8;0;19;4;54;173
15;0;0;0;19;0;38;4;54;183
14;0;0;0;25;0;8;4;54;188
13;0;1;0;3;0;35;4;54;202
13;0;1;0;3;0;22;4;54;206
12;0;0;0;20;0;21;4;54;215
12;0;0;0;19;0;13;4;54;216
12;0;1;0;6;2;10;4;54;222
11;0;1;0;8;0;10;4;54;223
11;0;0;0;20;0;33;4;54;228
11;0;1;0;10;0;9;4;54;229
11;0;0;0;15;0;52;4;54;232
11;0;1;0;4;0;129;4;54;239
10;0;1;0;4;1;39;4;54;246
10;1;0;0;1;0;3;4;54;251
10;0;0;0;14;2;26;4;54;252
10;0;1;0;5;0;3;4;54;255
10;0;0;0;16;1;55;4;54;266
9;0;0;0;11;0;52;4;54;272
9;0;1;0;6;0;11;4;54;273
9;0;1;0;5;0;20;4;54;279
9;0;1;0;3;0;10;4;54;284
9;0;0;0;13;0;20;4;54;285
9;0;1;0;3;0;21;4;54;287
9;0;0;0;16;0;12;4;54;291
9;0;1;0;3;0;32;4;54;293
9;0;0;0;12;1;21;4;54;298
9;0;1;0;3;0;8;4;54;300
8;0;0;0;10;0;69;4;54;308
8;0;1;0;5;0;33;4;54;320
8;0;1;0;2;0;19;4;54;328
8;0;1;0;1;0;4;4;54;342
8;0;1;0;2;0;22;4;54;343
8;0;1;0;1;0;16;4;54;345
8;0;0;0;15;0;12;4;54;352
8;0;0;0;21;0;33;4;54;369
7;0;0;0;13;1;37;4;54;371
7;0;0;0;12;0;6;4;54;372
7;0;0;0;11;0;4;4;54;377
6;0;0;0;11;0;57;4;54;386
6;0;0;0;8;0;14;4;54;430
6;0;0;0;8;0;52;4;54;431
6;0;0;0;16;0;11;4;54;439
6;0;0;0;10;0;9;4;54;441
5;0;0;0;8;0;6;4;54;442
5;0;0;0;4;0;4;4;54;447
5;0;0;0;6;0;2;4;54;451
4;0;0;0;6;0;15;4;54;458
4;0;0;0;7;0;11;4;54;461
4;0;0;0;4;0;3;4;54;482
4;0;0;0;19;0;14;4;54;485
4;0;0;0;9;0;25;4;54;486
4;0;0;0;4;1;3;4;54;487
3;0;0;0;4;0;33;4;54;499
3;0;0;0;4;0;51;4;54;500
3;0;0;0;5;0;16;4;54;503
3;0;0;0;7;0;12;4;54;504
